system:index,date,month,value,variable,year,.geo
47,2024-12-01,12,27.464213970789295,temperature_2021_2025,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
48,2025-01-01,1,24.18349274110986,temperature_2021_2025,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
49,2025-02-01,2,24.353615644971303,temperature_2021_2025,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
50,2025-03-01,3,23.26030526744252,temperature_2021_2025,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
51,2025-04-01,4,21.300465584791176,temperature_2021_2025,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
52,2025-05-01,5,17.551382543563438,temperature_2021_2025,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
53,2025-06-01,6,15.66273986192361,temperature_2021_2025,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
54,2025-07-01,7,15.56270415103032,temperature_2021_2025,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
55,2025-08-01,8,18.830540868294324,temperature_2021_2025,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
56,2025-09-01,9,22.860017113143034,temperature_2021_2025,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
57,2025-10-01,10,23.352096036647083,temperature_2021_2025,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
58,2025-11-01,11,22.353320800722816,temperature_2021_2025,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
59,2025-12-01,12,23.386617485784743,temperature_2021_2025,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
